image_index,algorithm,jpeg_quality,match_count,is_pass
000016,dwtDctSvd,100,48,True
000016,dwtDctSvd,95,48,True
000016,dwtDctSvd,90,48,True
000016,dwtDctSvd,80,48,True
000016,dwtDctSvd,50,22,False
000016,dwtDctSvd,10,21,False
000017,dwtDctSvd,100,48,True
000017,dwtDctSvd,95,48,True
000017,dwtDctSvd,90,48,True
000017,dwtDctSvd,80,48,True
000017,dwtDctSvd,50,21,False
000017,dwtDctSvd,10,21,False
000018,dwtDctSvd,100,48,True
000018,dwtDctSvd,95,48,True
000018,dwtDctSvd,90,48,True
000018,dwtDctSvd,80,48,True
000018,dwtDctSvd,50,37,True
000018,dwtDctSvd,10,27,False
000019,dwtDctSvd,100,48,True
000019,dwtDctSvd,95,48,True
000019,dwtDctSvd,90,48,True
000019,dwtDctSvd,80,48,True
000019,dwtDctSvd,50,46,True
000019,dwtDctSvd,10,13,False
000020,dwtDctSvd,100,48,True
000020,dwtDctSvd,95,48,True
000020,dwtDctSvd,90,48,True
000020,dwtDctSvd,80,48,True
000020,dwtDctSvd,50,42,True
000020,dwtDctSvd,10,21,False
000021,dwtDctSvd,100,48,True
000021,dwtDctSvd,95,48,True
000021,dwtDctSvd,90,48,True
000021,dwtDctSvd,80,48,True
000021,dwtDctSvd,50,43,True
000021,dwtDctSvd,10,21,False
000022,dwtDctSvd,100,48,True
000022,dwtDctSvd,95,48,True
000022,dwtDctSvd,90,48,True
000022,dwtDctSvd,80,48,True
000022,dwtDctSvd,50,21,False
000022,dwtDctSvd,10,21,False
000023,dwtDctSvd,100,48,True
000023,dwtDctSvd,95,48,True
000023,dwtDctSvd,90,48,True
000023,dwtDctSvd,80,48,True
000023,dwtDctSvd,50,40,True
000023,dwtDctSvd,10,21,False
000024,dwtDctSvd,100,48,True
000024,dwtDctSvd,95,48,True
000024,dwtDctSvd,90,48,True
000024,dwtDctSvd,80,48,True
000024,dwtDctSvd,50,48,True
000024,dwtDctSvd,10,21,False
000025,dwtDctSvd,100,48,True
000025,dwtDctSvd,95,48,True
000025,dwtDctSvd,90,48,True
000025,dwtDctSvd,80,48,True
000025,dwtDctSvd,50,41,True
000025,dwtDctSvd,10,21,False
000026,dwtDctSvd,100,48,True
000026,dwtDctSvd,95,48,True
000026,dwtDctSvd,90,48,True
000026,dwtDctSvd,80,48,True
000026,dwtDctSvd,50,46,True
000026,dwtDctSvd,10,21,False
000027,dwtDctSvd,100,48,True
000027,dwtDctSvd,95,48,True
000027,dwtDctSvd,90,48,True
000027,dwtDctSvd,80,48,True
000027,dwtDctSvd,50,46,True
000027,dwtDctSvd,10,21,False
000028,dwtDctSvd,100,48,True
000028,dwtDctSvd,95,48,True
000028,dwtDctSvd,90,48,True
000028,dwtDctSvd,80,48,True
000028,dwtDctSvd,50,46,True
000028,dwtDctSvd,10,21,False
000029,dwtDctSvd,100,48,True
000029,dwtDctSvd,95,48,True
000029,dwtDctSvd,90,48,True
000029,dwtDctSvd,80,48,True
000029,dwtDctSvd,50,24,False
000029,dwtDctSvd,10,21,False
